timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599108029715,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: https://api.spacexdata.com:80/v4/rockets/leo},Delete 3-1,text,false,Test failed: message expected to contain /200 OK/,1132,0,1,2,https://api.spacexdata.com:80/v4/rockets/leo},0,0,0
1599108029716,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: https://api.spacexdata.com:80/v4/rockets/gto},Delete 3-1,text,false,Test failed: message expected to contain /200 OK/,1132,0,1,2,https://api.spacexdata.com:80/v4/rockets/gto},0,0,0
1599108029716,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 45: https://api.spacexdata.com:80/v4/rockets/mars},Delete 3-1,text,false,Test failed: message expected to contain /200 OK/,1133,0,1,2,https://api.spacexdata.com:80/v4/rockets/mars},0,0,0
1599108029717,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: https://api.spacexdata.com:80/v4/rockets/pluto},Delete 3-1,text,false,Test failed: message expected to contain /200 OK/,1134,0,1,2,https://api.spacexdata.com:80/v4/rockets/pluto},0,0,0
